id,word
1,<UNK>
2,<START>
3,<END>
4,<SPACE>
5,1
6,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,0
15,`
16,~
17,!
18,@
19,#
20,$
21,%
22,^
23,&
24,*
25,(
26,)
27,-
28,_
29,+
30,=
31,[
32,]
33,{
34,}
35,\
36,|
37,;
38,:
39,'
40,""""
41,
42,<
43,.
44,>
45,/
46,?
47,a
48,b
49,c
50,d
51,e
52,f
53,g
54,h
55,i
56,j
57,k
58,l
59,m
60,n
61,o
62,p
63,q
64,r
65,s
66,t
67,u
68,v
69,w
70,x
71,y
72,z
73,A
74,B
75,C
76,D
77,E
78,F
79,G
80,H
81,I
82,J
83,K
84,L
85,M
86,N
87,O
88,P
89,Q
90,R
91,S
92,T
93,U
94,V
95,W
96,X
97,Y
98,Z
99,th
100,ou
101,er
102,in
103,an
104,the
105,or
106,is
107,en
108,ar
109,at
110,on
111,st
112,ll
113,me
114,to
115,and
116,he
117,you
118,es
119,no
120,se
121,ha
122,re
123,of
124,ve
125,it
126,ing
127,be
128,le
129,wi
130,my
131,hi
132,ow
133,ce
134,for
135,ay
136,as
137,ch
138,nd
139,ere
140,ld
141,ir
142,ed
143,ut
144,ro
145,not
146,li
147,de
148,we
149,hat
150,that
151,gh
152,And
153,ke
154,'s
155,oo
156,our
157,with
158,"s,"
159,ome
160,ent
161,his
162,ri
163,your
164,thou
165,ther
166,O:
167,ad
168,al
169,et
170,'d
171,"e,"
172,all
173,ght
174,EN
175,ur
176,have
177,him
178,IN
179,ly
180,so
181,ra
182,this
183,S:
184,ord
185,do
186,us
187,un
188,ho
189,ma
190,AR
191,pe
192,ould
193,lo
194,here
195,ood
196,id
197,thy
198,ver
199,fa
200,are
201,ck
202,"y,"
203,IO:
204,man
205,ti
206,now
207,The
208,am
209,sha
210,will
211,ess
212,ne
213,fe
214,ain
215,but
216,su
217,ard
218,her
219,one
220,US:
221,ter
222,con
223,ge
224,pr
225,Th
226,To
227,end
228,om
229,ru
230,la
231,by
232,shall
233,art
234,mor
235,UC
236,sh
237,come
238,po
239,ING
240,up
241,rom
242,own
243,AN
244,ta
245,That
246,what
247,ER
248,OR
249,mo
250,sel
251,ET
252,if
253,ous
254,te
255,go
256,good
257,ill
258,mu
259,qu
260,But
261,ath
262,hen
263,ble
264,ight
265,ion
266,lord
267,thee
268,'t
269,hich
270,king
271,'ll
272,A:
273,What
274,was
275,bo
276,ant
277,il
278,ven
279,KING
280,she
281,ca
282,from
283,ine
284,ong
285,bl
286,For
287,well
288,ul
289,them
290,sa
291,IC
292,ak
293,sir
294,self
295,ind
296,OL
297,would
298,s.
299,there
300,wor
301,ct
302,"ay,"
303,love
304,know
305,per
306,can
307,out
308,ive
309,EL
310,com
311,more
312,then
313,ag
314,let
315,"es,"
316,IUS:
317,ARD
318,their
319,di
320,My
321,than
322,ci
323,--
324,"ce,"
325,they
326,ST
327,see
328,"o,"
329,I'll
330,E:
331,ry
332,ep
333,like
334,ear
335,spe
336,ON
337,est
338,"me,"
339,were
340,bro
341,pro
342,ast
343,As
344,say
345,ish
346,We
347,ink
348,may
349,hath
350,II
351,irst
352,make
353,ple
354,ure
355,ol
356,You
357,row
358,who
359,thing
360,He
361,tru
362,fore
363,must
364,ap
365,ate
366,gra
367,ound
368,ith
369,"you,"
370,Go
371,ave
372,some
373,ook
374,should
375,father
376,fi
377,RO
378,time
379,TIO:
380,use
381,"d,"
382,upon
383,way
384,ence
385,ves
386,son
387,did
388,ET:
389,"er,"
390,AU
391,had
392,ig
393,reat
394,ward
395,dis
396,how
397,which
398,death
399,oun
400,word
401,fri
402,el
403,wo
404,If
405,sp
406,when
407,too
408,K:
409,men
410,speak
411,entle
412,In
413,CA
414,again
415,heart
416,ICH
417,RICH
418,vi
419,ful
420,"t,"
421,DU
422,DUK
423,hand
424,ers
425,DUKE
426,yet
427,old
428,y.
429,mar
430,Thou
